model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,8,8,afternoon,186,161,91
obs,8,8,afternoon,186,162,52
obs,8,8,afternoon,186,163,48
obs,8,8,afternoon,186,186,7
obs,8,8,afternoon,186,230,75
obs,8,8,afternoon,230,100,11
obs,8,8,afternoon,230,161,25
obs,8,8,afternoon,230,162,9
obs,8,8,afternoon,230,163,19
obs,8,8,afternoon,230,186,22
obs,8,8,afternoon,230,230,19
obs,8,8,morning,100,100,15
obs,8,8,morning,100,161,29
obs,8,8,morning,100,162,21
obs,8,8,morning,100,163,19
obs,8,8,morning,100,186,16
obs,8,8,morning,100,230,37
obs,8,8,morning,161,100,50
obs,8,8,morning,161,161,92
obs,8,8,morning,161,162,53
obs,8,8,morning,161,163,52
obs,8,8,morning,161,186,87
obs,8,8,morning,161,230,61
obs,8,8,morning,162,100,18
obs,8,8,morning,162,161,56
obs,8,8,morning,162,162,59
obs,8,8,morning,162,163,45
obs,8,8,morning,162,186,56
obs,8,8,morning,162,230,41
obs,8,8,morning,163,100,27
obs,8,8,morning,163,161,56
obs,8,8,morning,163,162,41
obs,8,8,morning,163,163,24
obs,8,8,morning,163,186,44
obs,8,8,morning,163,230,42
obs,8,8,morning,186,100,18
obs,8,8,morning,186,161,55
obs,8,8,morning,186,162,43
obs,8,8,morning,186,163,35
obs,8,8,morning,186,186,20
obs,8,8,morning,186,230,64
obs,8,8,morning,230,100,39
obs,8,8,morning,230,161,50
obs,8,8,morning,230,162,46
obs,8,8,morning,230,163,40
obs,8,8,morning,230,186,87
obs,8,8,morning,230,230,49
obs,8,8,night,100,100,12
obs,8,8,night,100,161,27
obs,8,8,night,100,162,21
obs,8,8,night,100,163,25
obs,8,8,night,100,186,18
obs,8,8,night,100,230,23
obs,8,8,night,161,100,36
obs,8,8,night,161,161,78
obs,8,8,night,161,162,49
obs,8,8,night,161,163,55
obs,8,8,night,161,186,60
obs,8,8,night,161,230,43
obs,8,8,night,162,100,22
obs,8,8,night,162,161,52
